Source,X,Y,Z,Nanoseconds=
6939,0.298,-0.727,-0.109,4035547664
6939,0.379,-0.708,-0.239,4035551190
6939,0.375,-0.773,-0.07,4035554681
6939,0.401,-0.56,-0.258,4035558316
6939,0.339,-0.475,-0.082,4035561766
6939,0.429,-0.483,-0.269,4035565249
6939,0.559,-0.691,-0.378,4035568699
6939,0.505,-0.499,-0.456,4035572113
6939,0.425,-0.58,-0.294,4035575524
6939,0.534,-0.759,-0.365,4035579022
6939,0.391,-0.576,-0.239,4035582479
6939,0.304,-0.477,-0.11,4035585873
6939,0.337,-0.771,0.036,4035589495
6939,0.378,-0.763,-0.099,4035592974
6939,0.252,-0.571,-0.041,4035596480
6939,0.405,-0.759,-0.179,4035599988
6939,0.212,-0.569,-0.114,4035603430
6939,0.308,-0.583,-0.227,4035606971
6939,0.231,-0.457,-0.111,4035610515
6939,0.181,-0.399,0.005,4035614076
6939,0.192,-0.205,-0.206,4035617623
6939,0.249,-0.243,-0.386,4035621105
6939,0.194,-0.189,-0.27,4035624652
6939,0.091,-0.15,-0.161,4035628059
6939,0.158,-0.211,-0.328,4035631547
6939,0.186,-0.409,-0.227,4035634972
6939,0.134,-0.337,-0.121,4035638440
6939,0.208,-0.24,-0.275,4035641880
6939,0.319,-0.296,-0.446,4035645341
6939,0.231,-0.264,-0.289,4035648831
6939,0.104,-0.198,-0.188,4035652319
6939,0.122,-0.386,-0.121,4035655797
6939,0.228,-0.499,-0.26,4035659265
6939,0.229,-0.365,-0.373,4035662678
6939,0.265,-0.702,-0.191,4035666115
6939,0.2,-0.558,-0.096,4035669665
6939,0.05,-0.436,-0.027,4035673277
6939,0.095,-0.607,0.069,4035902828
6939,0.233,-0.658,-0.126,4035910481
6939,0.276,-0.74,0.02,4035914099
6939,0.266,-0.545,-0.2,4035917733
6939,0.361,-0.559,-0.318,4035921372
6939,0.341,-0.651,-0.185,4035924850
6939,0.338,-0.456,-0.338,4035928367
6939,0.317,-0.3,-0.421,4035931836
6939,0.245,-0.307,-0.236,4035935375
6939,0.283,-0.46,-0.1,4035938944
6939,0.294,-0.569,-0.005,4035942534
6939,0.2,-0.462,0.084,4035946226
6939,0.104,-0.386,0.136,4035949949
6939,0.156,-0.147,-0.389,4035953496
6939,0.299,-0.525,-0.282,4035956999
6939,0.178,-0.393,-0.18,4035960550
6939,0.191,-0.28,-0.323,4035964184
6939,0.227,-0.471,-0.17,4035967657
6939,0.181,-0.386,-0.069,4035971195
6939,0.169,-0.23,-0.25,4035974812
6939,0.115,-0.213,-0.155,4035978378
6939,0.062,-0.201,-0.064,4035981908
6939,0.067,-0.094,-0.26,4035985539
6939,0.125,-0.315,-0.158,4035989139
6939,0.062,-0.29,-0.09,4035992719
6939,0.055,-0.282,0.004,4035996453
6939,0.012,-0.252,0.033,4036000149
6939,0.185,-0.66,0.083,4036003761
6939,0.194,-0.571,0.138,4036007438
6939,0.129,-0.494,0.105,4036010938
6939,0.081,-0.451,0.125,4036014542
6939,0.111,-0.47,-0.16,4036018108
6939,0.258,-0.515,-0.356,4036021654
6939,0.254,-0.331,-0.495,4036025117
6939,0.445,-0.535,-0.62,4036028638
6939,0.319,-0.411,-0.4,4036032124
6939,0.172,-0.3,-0.266,4036035625
6939,0.223,-0.343,-0.422,4036039131
6939,0.132,-0.3,-0.261,4036042611
6939,0.237,-0.358,-0.394,4036046170
6939,0.286,-0.516,-0.224,4036049660
6939,0.212,-0.413,-0.095,4036053095
6939,0.217,-0.529,0.002,4036056672
6939,0.247,-0.827,0.083,4036060416
6939,0.37,-0.851,-0.058,4036063955
6939,0.352,-0.615,-0.254,4036067558
6939,0.263,-0.518,-0.118,4036071143
6939,0.292,-0.626,-0.029,4036074697
6939,0.146,-0.476,0.013,4036078323
6939,0.138,-0.603,0.117,4036092039
6939,0.158,-0.656,0.191,4036096198
6939,0.095,-0.534,0.188,4036099698
6939,0.219,-0.835,0.272,4036103282
6939,0.159,-0.671,0.253,4036106808
6939,0.346,-0.869,0.018,4036110340
6939,0.306,-0.715,0.044,5280689205
6939,0.219,-0.569,0.054,5280722510
6939,0.166,-0.49,0.076,5280732138
6939,0.108,-0.379,0.075,5280740796
6939,0.101,-0.188,-0.221,5280749502
6939,0.129,-0.054,-0.387,5280758095
6939,0.094,-0.12,-0.257,5280766377
6939,0.198,-0.211,-0.432,5280775078
6939,0.312,-0.31,-0.557,5280783489
